,rewards
1230,-2.5
1231,-2.5
1232,-11.5625
1233,-6.875
1234,-1.25
1235,-3.125
1236,-4.0625
1237,-12.1875
1238,-10.3125
1239,-0.9375
1240,-2.5
1241,-4.0625
1242,-12.5
1243,-3.4375
1244,-2.8125
1245,-2.8125
1246,-5.9375
1247,-6.875
1248,-6.875
1249,-8.125
1250,-5.3125
1251,-4.0625
1252,-4.6875
1253,-9.0625
1254,-1.5625
1255,-6.5625
1256,-11.5625
1257,-6.25
1258,-12.5
1259,-3.125
1260,-0.3125
1261,-9.0625
1262,-3.4375
1263,-5.3125
1264,-5.9375
1265,-10.0
1266,-2.5
1267,-6.25
1268,-0.625
1269,-5.0
1270,-12.8125
1271,-2.1875
1272,-11.25
1273,-3.75
1274,-7.812500000000001
1275,-8.4375
1276,-2.8125
1277,-5.0
1278,-5.3125
1279,-9.0625
1280,-3.75
1281,-3.4375
1282,-5.9375
1283,-0.3125
1284,-5.0
1285,-1.875
1286,-3.75
1287,-8.4375
1288,-8.75
1289,-0.3125
1290,-5.0
1291,-9.0625
1292,-7.1875
1293,-5.625
1294,-4.0625
1295,-7.1875
1296,-5.0
1297,-6.5625
1298,-11.5625
1299,-4.0625
1300,-6.25
1301,-6.25
1302,-1.875
1303,-5.0
1304,-2.8125
1305,-6.25
1306,-7.1875
1307,-6.875
1308,-3.125
1309,-4.375
1310,-2.8125
1311,-7.1875
1312,-2.8125
1313,-3.4375
1314,-7.812500000000001
1315,-6.25
1316,-11.5625
1317,-3.75
1318,-12.5
1319,-4.0625
1320,-12.1875
1321,-2.8125
1322,-6.875
1323,-2.8125
1324,-4.0625
1325,-6.5625
1326,-2.5
1327,-10.9375
1328,-10.9375
1329,-6.875
1330,-1.875
1331,-3.75
1332,-2.5
1333,-3.75
1334,-6.875
1335,-7.5
1336,-4.6875
1337,-7.812500000000001
1338,-6.5625
1339,-7.1875
1340,-5.3125
1341,-6.875
1342,-5.9375
1343,-8.75
1344,-6.875
1345,-5.0
1346,-12.8125
1347,-0.625
1348,-6.25
1349,-10.625
1350,-3.75
1351,-10.9375
1352,-2.5
1353,-8.75
1354,-1.5625
1355,-7.1875
1356,-3.75
1357,-7.5
1358,-7.1875
1359,-6.875
1360,-4.0625
1361,-0.3125
1362,-8.75
1363,-7.812500000000001
1364,-7.1875
1365,-9.375
1366,-1.875
1367,-8.4375
1368,-6.25
1369,-4.375
1370,-12.5
1371,-6.875
1372,-8.75
1373,-4.375
1374,-6.875
1375,-1.875
1376,-10.0
1377,-2.8125
1378,-7.812500000000001
1379,-7.1875
1380,-1.875
1381,-7.1875
1382,-5.9375
1383,-2.5
1384,-4.0625
1385,-10.625
1386,-9.0625
1387,-6.25
1388,-0.9375
1389,-7.1875
1390,-12.1875
1391,-3.125
1392,-2.5
1393,-3.75
1394,-10.0
1395,-5.9375
1396,-5.0
1397,-7.812500000000001
1398,-7.812500000000001
1399,-6.5625
1400,-11.25
1401,-11.25
1402,-4.0625
1403,-2.5
1404,-4.375
1405,-9.6875
1406,-11.25
1407,-7.812500000000001
1408,-4.6875
1409,-3.4375
1410,-1.5625
1411,-0.625
1412,-12.8125
